person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,predicted_loan_status,default_probability
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0,0.15276658315434558
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0,0.2433196438745172
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,1,0.9169323073222482
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,1,0.9403667144585721
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,1,0.9306111518534971
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,1,0.9791131350874732
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,1,0.9776135953589262
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,1,0.8756861796494619
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,1,0.894681405263457
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0,0.04697327843162167
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0,0.09716532157622625
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0,0.04655704737482754
23,277000,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,N,4,0,0.025287150658317804
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0,0.05068048180075401
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,0,0.2343053538303703
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0,0.053053213773704436
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0,0.013297735257302701
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,0,0.06459294766647804
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,1,0.8250164120601963
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,1,0.9130841771011865
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0,0.3374904853177875
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0,0.0403438192584752
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0,0.24484213238598646
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0,0.028466259659224984
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0,0.09626101170148971
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,1,0.8970975739110331
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,1,0.9624860267911873
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,1,0.8625120542643857
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,1,0.9519218792246339
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,1,0.9194065662595692
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,1,0.8825993149189219
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,1,0.8594080969085841
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,1,0.8683848556568584
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,1,0.9301282549652202
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,1,0.939674897458281
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0,0.09735827701436993
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0,0.09262451473442218
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0,0.047502421722190144
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,1,0.8693705023534001
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,0,0.09658650512257243
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0,0.09495451933408353
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,1,0.9513084466579036
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,1,0.9476131033180666
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,1,0.8936475266984796
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,0,0.037025549677287224
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,1,0.914775773903
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,1,0.8975396238582141
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,1,0.9608559064551823
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,1,0.9316130556142135
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0,0.08103238653445817
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0,0.16164886743795898
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,1,0.9390923944583858
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0,0.10264279699961291
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0,0.039789894926047314
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0,0.07063842740035625
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,1,0.7982604152698343
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0,0.09885122207998982
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0,0.09372709745583933
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0,0.1222177363612865
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0,0.17305727402834997
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,1,0.9374461987667234
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,1,0.9555801395302352
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,1,0.8925843206002062
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,1,0.851124404471711
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0,0.06594583619315812
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0,0.2477770937055161
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0,0.07796186114157577
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,0,0.061099447111113515
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,1,0.8986656495488083
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,1,0.845672809184904
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,1,0.9882343508465122
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,1,0.9398954453182913
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,1,0.8108745607417401
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,1,0.9195347286875407
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,1,0.9542429965838635
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,1,0.9613288866718673
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0,0.3597381647921405
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0,0.04754404640664607
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0,0.03604708710493366
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0,0.027639477539172036
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,1,0.9556612812410298
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,1,0.9541375605049579
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,1,0.892938155736967
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,1,0.9764333911702333
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,1,0.9647438834145905
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,1,0.950136006418587
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,1,0.9457403372294035
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,1,0.9567585737226753
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,1,0.939140159727125
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0,0.05990535198484334
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0,0.03392245776269601
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0,0.15975260353740361
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0,0.07051118999902509
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0,0.14128570103791419
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0,0.029631674188963637
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,1,0.9516202160916591
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,1,0.9871457452194984
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,1,0.9350927578864853
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,1,0.9741591586191397
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,1,0.9827230351013072
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0,0.20227703327475097
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,1,0.9147833936536526
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0,0.026194504588602462
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0,0.03344965666906294
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,1,0.9513470607186391
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,1,0.9565385185483645
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,1,0.9109596647412149
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,1,0.9544691135697423
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,1,0.9176711463796993
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,1,0.9252914836410536
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,1,0.9300745531106179
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0,0.036842826977367724
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,1,0.5416411315319046
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,1,0.8634289441776981
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,1,0.9265456599348958
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,1,0.9265456599348958
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,1,0.9932122948257586
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,1,0.8212831253722684
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0,0.06699261882944461
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0,0.09163925462537689
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0,0.09537574598635627
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,1,0.9349530742786691
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,1,0.9217540017711086
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,1,0.9204024917682934
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,1,0.9322503843455836
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,1,0.9351071630409739
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,1,0.9885433936073719
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,N,2,0,0.03257520500962719
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0,0.07980759683988183
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0,0.01276624165214859
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0,0.08930640988776521
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0,0.06011344332838519
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0,0.038029179467638695
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,1,0.9273028787747931
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,1,0.8976190369950073
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0,0.027635795426511622
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0,0.26961134436393647
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0,0.02806702602515994
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0,0.10107267946152358
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,0,0.06073291198318637
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,1,0.9624881901860494
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,1,0.9170737555517069
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,1,0.8863150688706614
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,1,0.9487718391605313
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,1,0.9191528308608121
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,1,0.9028160658010056
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,1,0.9034559459102179
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0,0.06107290141168851
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0,0.3283808556500171
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0,0.0794305682542899
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,1,0.8964877104469218
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,1,0.8515641516663046
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,1,0.919751641961627
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,1,0.9092244296378641
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,1,0.9827628931431603
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,1,0.9021945907183685
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,1,0.9149327611185408
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,1,0.8841038289353412
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,1,0.92762651802968
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,1,0.9292231148410867
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,1,0.9338305413074494
24,192000,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2,0,0.11017537011067531
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0,0.06554488019736261
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3,0,0.03544183672182057
22,190000,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3,0,0.07167289822543134
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,1,0.9225486140113164
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,1,0.950174046207563
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0,0.029280746561118457
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0,0.03873490091273558
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,10.99,1,0.32,Y,2,1,0.9167679006543417
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,1,0.8955165366790139
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,1,0.9208481122551291
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,0,0.012641580750021674
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,0,0.17840895228146003
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,1,0.9681360027333884
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,1,0.7648988209887966
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,1,0.8954738431645265
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,1,0.8020187948032969
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,1,0.9004221050466377
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1,N,4,0,0.23375324866607905
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,1,0.9005705787338851
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,1,0.9108342388425231
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,0,0.10448056750377661
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,0,0.024987344482567835
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,0,0.3435528122685285
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,0,0.027674282910091094
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,0,0.08620851994027802
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,0,0.05889259485000992
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,10.99,0,0.01,N,2,0,0.04097009340610311
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,0,0.02982084272781485
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,1,0.9562334673676993
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,10.99,1,0.34,Y,4,1,0.9853181868738479
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,1,0.9059232966633439
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,1,0.917422557408312
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,0,0.06059323862546909
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,0,0.10094692496613283
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,0,0.3916985425763165
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,0,0.34010474986765404
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,0,0.03206548204899486
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,1,0.7239507222906388
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,0,0.14021776933767796
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,0,0.32009438624452996
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,0,0.08642392287586087
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,0,0.029392889884130892
26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,0,0.028007834240310937
25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,1,0.7857936915638475
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,10.99,1,0.41,N,4,1,0.8285699369640278
24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,0,0.3945973683556565
24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,1,0.9392288205626415
23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,1,0.9757966479611985
23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,1,0.9712417795209575
25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,0,0.09659195246899265
21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,1,0.9491243951172562
26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4,0,0.040199194119521275
24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3,0,0.030132426447030073
25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4,0,0.04784547089709457
26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4,0,0.019336811724769115
